region,count
ABŞERON,50
ASTARA,50
AĞCABƏDİ,50
AĞDAM,50
AĞDƏRƏ,17
AĞSTAFA,50
AĞSU,47
BABƏK,50
BAKİ,50
BALAKƏN,50
BEYLƏQAN,50
BINƏQƏDI,39
BƏRDƏ,50
CULFA,50
CƏBRAYIL,49
CƏLİLABAD,50
DAŞKƏSƏN,50
FÜZULİ,50
GORANBOY,50
GÖYGÖL,49
GÖYÇAY,50
GƏDƏBƏY,50
GƏNCƏ,50
HEYDƏR,50
KÜRDƏMİR,50
KƏLBƏCƏR,50
KƏNGƏRLI,49
LAÇIN,50
LERİK,50
LƏNKƏRAN,49
MASALLI,50
MİNGƏÇEVİR,50
NAFTALAN,50
NAXÇIVAN,50
NEFTÇALA,50
NIZAMI,48
NƏRIMANOV,50
NƏSIMI,50
ORDUBAD,50
OĞUZ,50
PİRALLAHI,23
QARADAĞ,50
QAX,50
QAZAX,50
QUBA,50
QUBADLI,46
QUSAR,49
QƏBƏLƏ,50
RAYONLAR,44
SABİRABAD,50
SALYAN,50
SAMUX,48
SUMQAYIT,49
SURAXANI,49
SİYƏZƏN,50
SƏDƏRƏK,50
TOVUZ,49
TƏRTƏR,48
UCAR,50
XANKƏNDI,30
XAÇMAZ,50
XIZI,49
XOCALI,49
XOCAVƏND,48
XƏTAI,50
XƏZƏR,49
YARDIMLI,50
YASAMAL,48
YEVLAX,50
ZAQATALA,50
ZƏNGILAN,49
ZƏRDAB,50
İMİŞLİ,50
ŞABRAN,50
ŞAHBUZ,49
ŞAMAXI,50
ŞUŞA,50
ŞİRVAN,49
ŞƏKİ,50
ŞƏRUR,50
